"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2019","1,153.67","1,159.31","1,161.37","1,154.05","","-0.39%"
"06/25/2019","1,155.17","1,154.67","1,157.27","1,152.68","","0.13%"
"06/26/2019","1,153.67","1,156.17","1,160.72","1,151.89","","-0.13%"
"06/27/2019","1,157.00","1,154.53","1,159.03","1,153.05","","0.29%"
"06/28/2019","1,155.38","1,157.15","1,159.06","1,153.85","","-0.14%"
"07/01/2019","1,160.77","1,156.43","1,165.06","1,148.70","","0.47%"
"07/02/2019","1,166.47","1,161.77","1,168.61","1,160.32","","0.49%"
"07/03/2019","1,169.72","1,167.47","1,172.92","1,165.60","","0.28%"
"07/04/2019","1,167.34","1,170.72","1,171.74","1,166.90","","-0.20%"
"07/05/2019","1,174.59","1,168.34","1,176.13","1,167.52","","0.62%"
"07/08/2019","1,179.94","1,175.02","1,182.58","1,174.63","","0.46%"
"07/09/2019","1,182.22","1,180.92","1,184.46","1,178.07","","0.19%"
"07/10/2019","1,175.57","1,183.22","1,183.48","1,175.18","","-0.56%"
"07/11/2019","1,174.16","1,176.57","1,178.24","1,169.94","","-0.12%"
"07/12/2019","1,176.32","1,175.16","1,180.27","1,173.76","","0.18%"
"07/15/2019","1,179.41","1,177.41","1,182.25","1,176.82","","0.26%"
"07/16/2019","1,179.21","1,180.41","1,182.52","1,176.22","","-0.02%"
"07/17/2019","1,179.62","1,179.70","1,182.72","1,177.60","","0.03%"
"07/18/2019","1,171.78","1,180.62","1,184.08","1,172.28","","-0.66%"
"07/19/2019","1,175.11","1,172.78","1,176.84","1,169.86","","0.28%"
"07/22/2019","1,175.87","1,176.11","1,179.45","1,175.07","","0.06%"
"07/23/2019","1,178.89","1,176.87","1,180.80","1,175.32","","0.26%"
"07/24/2019","1,177.41","1,179.90","1,181.03","1,176.30","","-0.13%"
"07/25/2019","1,183.16","1,178.41","1,185.36","1,177.10","","0.49%"
"07/26/2019","1,183.24","1,184.16","1,186.65","1,181.75","","0.01%"
"07/29/2019","1,182.71","1,184.21","1,185.96","1,180.38","","-0.04%"
"07/30/2019","1,181.14","1,183.71","1,184.72","1,179.38","","-0.13%"
"07/31/2019","1,187.32","1,181.14","1,189.36","1,179.88","","0.52%"
"08/01/2019","1,195.38","1,188.32","1,198.32","1,185.88","","0.68%"
"08/02/2019","1,204.51","1,196.38","1,208.03","1,191.35","","0.76%"
"08/05/2019","1,217.33","1,204.94","1,221.29","1,202.40","","1.06%"
"08/06/2019","1,212.43","1,218.33","1,220.74","1,208.90","","-0.40%"
"08/07/2019","1,212.87","1,213.43","1,220.22","1,211.45","","0.04%"
"08/08/2019","1,207.08","1,213.01","1,216.46","1,206.16","","-0.48%"
"08/09/2019","1,213.45","1,208.08","1,217.28","1,207.15","","0.53%"
"08/12/2019","1,218.14","1,214.44","1,220.71","1,213.58","","0.39%"
"08/13/2019","1,205.64","1,219.14","1,224.55","1,205.64","","-1.03%"
"08/14/2019","1,215.86","1,206.64","1,218.96","1,206.05","","0.85%"
"08/15/2019","1,212.33","1,216.86","1,219.48","1,212.46","","-0.29%"
"08/16/2019","1,207.47","1,213.33","1,215.95","1,205.05","","-0.40%"
"08/19/2019","1,211.62","1,208.49","1,213.98","1,208.20","","0.34%"
"08/20/2019","1,205.40","1,212.62","1,214.20","1,205.40","","-0.51%"
"08/21/2019","1,201.44","1,206.40","1,210.03","1,198.69","","-0.33%"
"08/22/2019","1,209.42","1,202.49","1,212.36","1,201.99","","0.66%"
"08/23/2019","1,212.66","1,210.43","1,217.89","1,206.82","","0.27%"
"08/26/2019","1,211.74","1,213.65","1,220.70","1,212.11","","-0.08%"
"08/27/2019","1,211.74","1,212.74","1,215.85","1,210.25","","0.00%"
"08/28/2019","1,212.29","1,212.74","1,215.94","1,211.52","","0.05%"
"08/29/2019","1,208.12","1,213.29","1,217.39","1,207.76","","-0.34%"
"08/30/2019","1,209.50","1,209.12","1,212.05","1,206.24","","0.11%"
"09/02/2019","1,213.61","1,209.77","1,215.14","1,209.37","","0.34%"
"09/03/2019","1,210.54","1,214.67","1,217.50","1,210.78","","-0.25%"
"09/04/2019","1,203.63","1,211.54","1,212.27","1,203.21","","-0.57%"
"09/05/2019","1,197.52","1,204.64","1,205.54","1,195.87","","-0.51%"
"09/06/2019","1,191.77","1,198.03","1,199.30","1,189.46","","-0.48%"
"09/09/2019","1,191.93","1,192.62","1,195.36","1,188.77","","0.01%"
"09/10/2019","1,191.35","1,192.93","1,194.20","1,189.04","","-0.05%"
"09/11/2019","1,189.68","1,191.51","1,195.16","1,188.67","","-0.14%"
"09/12/2019","1,181.44","1,190.68","1,191.41","1,177.55","","-0.69%"
"09/13/2019","1,178.72","1,182.44","1,184.46","1,175.31","","-0.23%"
"09/16/2019","1,184.02","1,181.65","1,186.20","1,181.57","","0.45%"
"09/17/2019","1,186.62","1,185.02","1,191.65","1,183.60","","0.22%"
"09/18/2019","1,190.73","1,187.62","1,194.74","1,186.52","","0.35%"
"09/19/2019","1,194.35","1,191.78","1,197.34","1,190.12","","0.30%"
"09/20/2019","1,193.13","1,195.35","1,195.87","1,186.85","","-0.10%"
"09/23/2019","1,194.04","1,194.14","1,199.40","1,190.49","","0.08%"
"09/24/2019","1,194.53","1,195.04","1,198.53","1,191.99","","0.04%"
"09/25/2019","1,198.82","1,195.53","1,202.29","1,194.38","","0.36%"
"09/26/2019","1,199.46","1,199.82","1,202.91","1,197.52","","0.05%"
"09/27/2019","1,201.99","1,200.47","1,203.80","1,196.87","","0.21%"
"09/30/2019","1,198.09","1,202.90","1,203.80","1,195.30","","-0.32%"
"10/01/2019","1,202.37","1,199.09","1,204.33","1,196.11","","0.36%"
"10/02/2019","1,204.37","1,203.37","1,207.89","1,200.90","","0.17%"
"10/03/2019","1,200.89","1,205.37","1,206.80","1,200.91","","-0.29%"
"10/04/2019","1,191.25","1,201.89","1,203.18","1,191.46","","-0.80%"
"10/07/2019","1,196.33","1,192.30","1,198.70","1,192.20","","0.43%"
"10/08/2019","1,199.02","1,197.33","1,200.31","1,192.11","","0.22%"
"10/09/2019","1,197.50","1,200.02","1,200.24","1,196.07","","-0.13%"
"10/10/2019","1,189.46","1,198.50","1,201.71","1,188.94","","-0.67%"
"10/11/2019","1,182.48","1,190.46","1,192.62","1,177.83","","-0.59%"
"10/14/2019","1,183.70","1,182.50","1,187.06","1,180.51","","0.10%"
"10/15/2019","1,184.79","1,184.70","1,187.62","1,182.32","","0.09%"
"10/16/2019","1,185.51","1,184.88","1,190.95","1,183.64","","0.06%"
"10/17/2019","1,178.60","1,186.51","1,188.21","1,175.24","","-0.58%"
"10/18/2019","1,177.91","1,179.07","1,182.82","1,178.21","","-0.06%"
"10/21/2019","1,172.33","1,179.22","1,181.05","1,168.91","","-0.47%"
"10/22/2019","1,172.09","1,172.49","1,174.67","1,169.22","","-0.02%"
"10/23/2019","1,169.67","1,173.07","1,176.90","1,170.06","","-0.21%"
"10/24/2019","1,175.12","1,170.67","1,175.87","1,167.31","","0.47%"
"10/25/2019","1,171.66","1,175.21","1,176.18","1,171.22","","-0.29%"
"10/28/2019","1,167.61","1,171.50","1,172.10","1,167.53","","-0.35%"
"10/29/2019","1,167.39","1,168.62","1,170.12","1,162.61","","-0.02%"
"10/30/2019","1,164.41","1,167.55","1,170.85","1,164.32","","-0.26%"
"10/31/2019","1,169.24","1,165.41","1,171.56","1,159.17","","0.41%"
"11/01/2019","1,164.67","1,170.24","1,171.51","1,164.01","","-0.39%"
"11/04/2019","1,162.79","1,164.80","1,164.90","1,157.89","","-0.16%"
"11/05/2019","1,155.82","1,163.01","1,163.30","1,153.94","","-0.60%"
"11/06/2019","1,160.41","1,156.82","1,162.59","1,155.35","","0.40%"
"11/07/2019","1,154.31","1,161.60","1,163.28","1,152.73","","-0.53%"
"11/08/2019","1,158.60","1,155.31","1,159.91","1,153.73","","0.37%"
"11/11/2019","1,164.45","1,158.70","1,167.36","1,157.88","","0.50%"
"11/12/2019","1,165.53","1,165.46","1,166.99","1,159.85","","0.09%"
"11/13/2019","1,171.09","1,166.53","1,174.15","1,164.85","","0.48%"
"11/14/2019","1,168.08","1,171.48","1,173.17","1,168.20","","-0.26%"
"11/15/2019","1,162.65","1,169.08","1,169.90","1,163.06","","-0.46%"
"11/18/2019","1,166.23","1,163.70","1,168.16","1,162.19","","0.31%"
"11/19/2019","1,167.35","1,167.23","1,170.67","1,165.32","","0.10%"
"11/20/2019","1,169.82","1,168.35","1,172.71","1,167.33","","0.21%"
"11/21/2019","1,176.45","1,170.82","1,179.55","1,169.80","","0.57%"
"11/22/2019","1,179.33","1,176.74","1,181.01","1,174.97","","0.24%"
"11/25/2019","1,172.90","1,180.75","1,180.76","1,172.68","","-0.55%"
"11/26/2019","1,172.42","1,173.90","1,179.05","1,170.20","","-0.04%"
"11/27/2019","1,175.97","1,173.32","1,178.87","1,172.24","","0.30%"
"11/28/2019","1,178.09","1,176.98","1,181.03","1,175.87","","0.18%"
"11/29/2019","1,180.70","1,178.82","1,182.76","1,177.57","","0.22%"
"12/02/2019","1,184.78","1,181.42","1,187.30","1,177.71","","0.35%"
"12/03/2019","1,189.36","1,185.78","1,194.01","1,183.86","","0.39%"
"12/04/2019","1,191.15","1,189.77","1,196.21","1,188.67","","0.15%"
"12/05/2019","1,187.92","1,191.35","1,193.38","1,187.43","","-0.27%"
"12/06/2019","1,185.51","1,188.92","1,192.69","1,185.54","","-0.20%"
"12/09/2019","1,189.55","1,186.01","1,192.81","1,185.86","","0.34%"
"12/10/2019","1,189.49","1,190.54","1,194.32","1,189.20","","-0.01%"
"12/11/2019","1,188.61","1,190.49","1,195.59","1,189.15","","-0.07%"
"12/12/2019","1,171.89","1,189.61","1,192.16","1,170.51","","-1.41%"
"12/13/2019","1,175.57","1,172.89","1,179.03","1,168.32","","0.31%"
"12/16/2019","1,167.48","1,176.80","1,177.55","1,167.57","","-0.69%"
"12/17/2019","1,163.15","1,168.48","1,170.60","1,162.17","","-0.37%"
"12/18/2019","1,166.57","1,164.15","1,169.71","1,162.47","","0.29%"
"12/19/2019","1,162.27","1,166.71","1,168.10","1,162.31","","-0.37%"
"12/20/2019","1,158.99","1,163.27","1,165.87","1,158.16","","-0.28%"
"12/23/2019","1,163.04","1,159.39","1,164.90","1,159.04","","0.35%"
"12/24/2019","1,162.52","1,164.04","1,166.11","1,160.36","","-0.04%"
"12/25/2019","1,159.76","1,163.52","1,163.80","1,160.72","","-0.24%"
"12/26/2019","1,161.30","1,160.76","1,163.51","1,159.65","","0.13%"
"12/27/2019","1,158.95","1,162.33","1,162.78","1,158.12","","-0.20%"
"12/30/2019","1,156.97","1,160.70","1,161.03","1,154.49","","-0.17%"
"12/31/2019","1,154.07","1,157.97","1,159.00","1,152.94","","-0.25%"
"01/01/2020","1,154.02","1,155.07","1,155.32","1,154.09","","0.00%"
"01/02/2020","1,157.35","1,155.02","1,161.15","1,153.49","","0.29%"
"01/03/2020","1,164.95","1,157.95","1,168.83","1,155.70","","0.66%"
"01/06/2020","1,166.94","1,165.89","1,172.99","1,165.78","","0.17%"
"01/07/2020","1,167.30","1,167.54","1,168.83","1,163.12","","0.03%"
"01/08/2020","1,162.25","1,168.30","1,179.67","1,160.50","","-0.43%"
"01/09/2020","1,158.72","1,162.49","1,163.55","1,157.41","","-0.30%"
"01/10/2020","1,157.97","1,159.73","1,164.16","1,157.55","","-0.06%"
"01/13/2020","1,153.95","1,158.92","1,159.58","1,153.13","","-0.35%"
"01/14/2020","1,157.20","1,154.95","1,159.66","1,150.30","","0.28%"
"01/15/2020","1,157.91","1,158.20","1,162.80","1,155.85","","0.06%"
"01/16/2020","1,159.73","1,158.91","1,161.97","1,156.50","","0.16%"
"01/17/2020","1,160.44","1,160.73","1,161.93","1,155.97","","0.06%"
"01/20/2020","1,158.61","1,161.46","1,162.20","1,155.87","","-0.16%"
"01/21/2020","1,169.01","1,159.61","1,170.77","1,157.94","","0.90%"
"01/22/2020","1,164.76","1,170.01","1,170.20","1,162.01","","-0.36%"
"01/23/2020","1,168.54","1,165.76","1,170.76","1,164.29","","0.32%"
"01/24/2020","1,169.20","1,168.60","1,171.05","1,166.01","","0.06%"
"01/27/2020","1,176.70","1,170.24","1,179.72","1,170.10","","0.64%"
"01/28/2020","1,175.71","1,177.70","1,181.88","1,174.97","","-0.08%"
"01/29/2020","1,178.68","1,176.21","1,180.43","1,173.74","","0.25%"
"01/30/2020","1,187.64","1,179.68","1,193.67","1,178.22","","0.76%"
"01/31/2020","1,194.97","1,188.64","1,198.55","1,183.88","","0.62%"
"02/03/2020","1,189.79","1,195.96","1,199.44","1,190.17","","-0.43%"
"02/04/2020","1,182.90","1,190.81","1,194.28","1,183.24","","-0.58%"
"02/05/2020","1,183.40","1,183.90","1,192.90","1,180.18","","0.04%"
"02/06/2020","1,185.28","1,184.40","1,186.77","1,177.71","","0.16%"
"02/07/2020","1,191.39","1,186.28","1,196.29","1,184.72","","0.52%"
"02/10/2020","1,187.17","1,192.39","1,194.50","1,185.33","","-0.35%"
"02/11/2020","1,181.25","1,188.17","1,188.58","1,180.42","","-0.50%"
"02/12/2020","1,178.51","1,182.29","1,184.21","1,176.07","","-0.23%"
"02/13/2020","1,183.58","1,179.51","1,185.01","1,178.24","","0.43%"
"02/14/2020","1,182.46","1,184.59","1,185.85","1,180.49","","-0.09%"
"02/17/2020","1,185.25","1,183.44","1,185.88","1,179.19","","0.24%"
"02/18/2020","1,190.95","1,185.38","1,192.49","1,184.28","","0.48%"
"02/19/2020","1,192.50","1,191.05","1,193.90","1,187.50","","0.13%"
"02/20/2020","1,204.71","1,193.00","1,208.99","1,191.42","","1.02%"
"02/21/2020","1,206.91","1,205.21","1,215.26","1,202.95","","0.18%"
"02/24/2020","1,219.08","1,206.97","1,222.97","1,206.97","","1.01%"
"02/25/2020","1,215.54","1,219.17","1,220.33","1,208.84","","-0.29%"
"02/26/2020","1,212.31","1,216.04","1,220.63","1,211.83","","-0.27%"
"02/27/2020","1,212.63","1,212.81","1,218.82","1,206.76","","0.03%"
"02/28/2020","1,200.20","1,212.68","1,218.57","1,199.59","","-1.03%"
"03/02/2020","1,189.61","1,200.21","1,207.63","1,188.55","","-0.88%"
"03/03/2020","1,180.50","1,189.71","1,196.21","1,178.81","","-0.77%"
"03/04/2020","1,184.73","1,181.00","1,188.98","1,181.00","","0.36%"
"03/05/2020","1,188.72","1,185.23","1,193.09","1,179.85","","0.34%"
"03/06/2020","1,188.70","1,188.82","1,194.72","1,184.96","","0.00%"
"03/09/2020","1,200.88","1,188.70","1,206.60","1,188.60","","1.02%"
"03/10/2020","1,185.60","1,200.94","1,202.30","1,185.03","","-1.27%"
"03/11/2020","1,192.57","1,185.75","1,197.96","1,184.43","","0.59%"
"03/12/2020","1,210.71","1,192.71","1,214.17","1,191.15","","1.52%"
"03/13/2020","1,211.28","1,211.21","1,226.77","1,205.49","","0.05%"
"03/16/2020","1,232.37","1,211.70","1,233.72","1,209.32","","1.74%"
"03/17/2020","1,239.72","1,232.87","1,247.21","1,232.45","","0.60%"
"03/18/2020","1,256.46","1,239.76","1,269.15","1,231.60","","1.35%"
"03/19/2020","1,257.86","1,256.50","1,292.93","1,247.45","","0.11%"
"03/20/2020","1,254.45","1,258.36","1,264.61","1,237.22","","-0.27%"
"03/23/2020","1,272.50","1,254.85","1,283.05","1,254.40","","1.44%"
"03/24/2020","1,233.21","1,273.00","1,273.04","1,232.90","","-3.09%"
"03/25/2020","1,232.00","1,234.21","1,239.08","1,226.07","","-0.10%"
"03/26/2020","1,212.90","1,233.00","1,235.43","1,212.48","","-1.55%"
"03/27/2020","1,212.23","1,213.40","1,227.29","1,205.31","","-0.06%"
"03/30/2020","1,224.21","1,212.73","1,227.21","1,212.18","","0.99%"
"03/31/2020","1,218.30","1,224.71","1,225.22","1,214.28","","-0.48%"
"04/01/2020","1,236.20","1,218.80","1,239.26","1,216.80","","1.47%"
"04/02/2020","1,227.35","1,236.70","1,243.29","1,225.56","","-0.72%"
"04/03/2020","1,235.61","1,227.85","1,240.65","1,224.18","","0.67%"
"04/06/2020","1,224.60","1,236.42","1,239.51","1,223.59","","-0.89%"
"04/07/2020","1,214.93","1,224.64","1,225.56","1,208.78","","-0.79%"
"04/08/2020","1,215.76","1,215.43","1,223.19","1,214.09","","0.07%"
"04/09/2020","1,210.58","1,216.26","1,222.37","1,208.67","","-0.43%"
"04/10/2020","1,211.05","1,211.11","1,216.10","1,206.64","","0.04%"
"04/13/2020","1,215.46","1,212.04","1,221.71","1,211.59","","0.36%"
"04/14/2020","1,212.46","1,215.97","1,219.45","1,211.32","","-0.25%"
"04/15/2020","1,224.68","1,212.50","1,225.77","1,209.62","","1.01%"
"04/16/2020","1,228.94","1,224.72","1,230.53","1,222.95","","0.35%"
"04/17/2020","1,216.13","1,228.98","1,229.45","1,213.95","","-1.04%"
"04/20/2020","1,220.58","1,216.26","1,222.63","1,214.72","","0.37%"
"04/21/2020","1,232.56","1,220.62","1,241.83","1,220.12","","0.98%"
"04/22/2020","1,233.55","1,233.53","1,237.91","1,229.92","","0.08%"
"04/23/2020","1,233.04","1,234.05","1,237.24","1,227.72","","-0.04%"
"04/24/2020","1,230.53","1,233.54","1,238.24","1,229.93","","-0.20%"
"04/27/2020","1,222.05","1,230.50","1,235.10","1,220.81","","-0.69%"
"04/28/2020","1,221.31","1,222.64","1,227.96","1,216.86","","-0.06%"
"04/29/2020","1,210.99","1,221.81","1,223.45","1,210.42","","-0.84%"
"04/30/2020","1,212.94","1,211.11","1,215.69","1,203.51","","0.16%"
"05/01/2020","1,224.89","1,213.94","1,225.87","1,213.10","","0.99%"
"05/04/2020","1,224.14","1,224.80","1,230.53","1,223.36","","-0.06%"
"05/05/2020","1,222.47","1,224.18","1,224.82","1,218.20","","-0.14%"
"05/06/2020","1,228.55","1,222.57","1,230.03","1,220.57","","0.50%"
"05/07/2020","1,219.61","1,229.60","1,230.07","1,217.09","","-0.73%"
"05/08/2020","1,219.65","1,220.11","1,221.82","1,214.51","","0.00%"
